x position        y position        field value
    0.7        0.7        9.52517
    0.71        0.7        9.53262
    0.72        0.7        9.5403
    0.73        0.7        9.54845
    0.74        0.7        9.55707
    0.75        0.7        9.56616
    0.76        0.7        9.57575
    0.77        0.7        9.58584
    0.78        0.7        9.59644
    0.79        0.7        9.60756
    0.8        0.7        9.61921
    0.81        0.7        9.63141
    0.82        0.7        9.64417
    0.83        0.7        9.6575
    0.84        0.7        9.67141
    0.85        0.7        9.68593
    0.86        0.7        9.70106
    0.87        0.7        9.71681
    0.88        0.7        9.73322
    0.89        0.7        9.75028
    0.9        0.7        9.76802
    0.91        0.7        9.78646
    0.92        0.7        9.80561
    0.93        0.7        9.8255
    0.94        0.7        9.84613
    0.95        0.7        9.86753
    0.96        0.7        9.88973
    0.97        0.7        9.91273
    0.98        0.7        9.93656
